path,label
D:\datasets\shape_dataset\square_triangle\train_data\square_76.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_67.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_36.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_125.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_101.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_40.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_41.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_18.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_32.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_132.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_81.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_121.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_128.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_35.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_78.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_102.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_82.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_199.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_149.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_59.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_12.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_63.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_84.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_124.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_14.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_27.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_26.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_165.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_34.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_8.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_118.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_187.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_48.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_56.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_19.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_119.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_29.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_38.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_86.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_14.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_94.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_74.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_202.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_139.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_34.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_180.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_111.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_114.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_102.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_92.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_6.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_201.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_106.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_7.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_160.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_162.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_83.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_44.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_145.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_87.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_153.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_64.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_90.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_134.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_9.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_52.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_63.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_150.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_66.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_20.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_22.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_138.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_76.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_196.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_170.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_33.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_88.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_130.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_109.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_192.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_190.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_91.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_161.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_22.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_47.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_151.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_13.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_158.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_11.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_135.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_17.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_113.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_167.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_178.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_60.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_62.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_100.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_154.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_58.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_184.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_98.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_198.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_54.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_154.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_176.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_0.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_138.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_89.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_164.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_29.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_53.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_103.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_31.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_60.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_137.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_57.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_73.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_134.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_79.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_99.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_173.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_69.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_45.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_31.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_16.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_195.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_147.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_61.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_45.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_113.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_84.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_70.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_85.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_19.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_127.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_59.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_4.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_101.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_168.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_182.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_7.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_83.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_179.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_129.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\square_108.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_47.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_177.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_97.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_24.jpg,0
D:\datasets\shape_dataset\square_triangle\train_data\triangle_70.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_65.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\triangle_96.jpg,1
D:\datasets\shape_dataset\square_triangle\train_data\square_55.jpg,0
